session_ID: pilotlucas1,post_pulse_time: 2.0679999579442665e-06
block_num,trial_num,target_y_pos,ON_disp_time,movement_onset,movement_onset_sensor_time,movement_end,acceleration
1,1,247,8.424426723000124,10.209720372999982,519869.4784828,10.234719553000104,2627995.0104166665
1,2,-18,12.962054058999911,13.225045944000158,519872.4891915,13.283952899999804,2199668.7625
1,3,-38,16.01475736500015,17.45986577099984,519876.7275415,17.508402068000123,2525705.6041666665
1,4,63,20.235143309999785,21.483083594000163,519880.7526003,21.602230791999773,2164060.2176724137
1,5,-52,24.338990904000184,26.27986194899995,519885.5455365,26.33473164499992,2419758.347222222
1,6,60,29.06001973599996,33.152206261000174,519892.4191111,33.20142040100018,2512602.0528846155
1,7,99,35.93317555099975,39.458383222000066,519898.7247178,39.52506961300014,2275202.196969697
1,8,186,42.25553060399989,44.77558182799976,519904.04000880005,44.83228286599979,2142834.2416666667
1,9,-71,47.56052861099988,49.290472637999756,519908.558962,49.326298167000004,1942990.0625
1,10,-35,52.064630553999905,53.70727170700002,519912.97172750003,53.748210627999924,2590036.0170454546
1,11,138,56.46862882000005,62.24968683899988,519921.51620370004,62.30660885599991,2247695.7589285714
1,12,205,65.0432608709998,68.33201065699996,519927.6002758,68.38801093199982,2126885.212962963
1,13,234,71.11533525599998,75.46446512400007,519934.7331013,75.50944664400004,2563378.288043478
1,14,33,78.23880687700012,82.68822746400019,519941.9555078,82.76307757899986,1861349.1979166667
1,15,21,85.49527107899985,88.0435002979998,519947.3116392,88.12145811099981,2223037.3125
1,16,-94,90.85023245499997,95.56650584499994,519954.8327204,95.6264372390001,2328362.435483871
1,17,126,98.35724785999992,100.59316252600001,519959.8611772,100.66617026499989,2050550.0
1,18,196,103.39511299500009,112.99745702700011,519972.2606062,113.04136280600005,2412876.2717391304
1,19,-88,115.77323934200012,122.03604155599987,519981.303961,122.1008352519998,2250048.6931818184
1,20,270,124.83144935200016,127.42856252999991,519986.66672639997,127.51428803099998,2141144.0561224488
1,21,122,130.23682970499976,134.9253129990002,519994.19026420004,134.96602708199998,2523856.8693181816
1,22,254,137.6928449789998,139.22992761500018,519998.4978643,139.26873582000007,1904697.8472222222
1,23,-84,141.99680024100007,143.7040395690001,520002.9709589,143.72599231699996,2485367.8875
1,24,128,146.45126620200017,149.6382057840001,520008.9030729,149.65412445099992,1757305.232142857
1,25,-57,152.39020414200013,152.3921220870002,520010.9460889,152.39215217399988,1755122.125
1,26,47,155.12598406100005,156.48403654999993,520015.7507865,156.49094013400008,1755991.4583333333
1,27,84,159.212791724,159.21283348399993,520017.4813882,159.21292897500007,1758114.6607142857
1,28,-87,161.94894871899987,161.94898917199998,520020.2166264,161.9490213160002,1754647.3125
1,29,23,164.68564789099992,164.6857224360001,520022.9590598,164.68580948299996,1760248.2083333333
1,30,131,167.42106281399992,167.42110314299998,520025.68948440003,167.4211992989999,1770021.232142857
1,31,28,170.1565533580001,172.38440660600008,520031.6512492,172.40029372399977,2532513.890625
1,32,260,175.12767874500014,177.59029628400003,520036.8588904,177.6091277239998,2593096.775
1,33,121,180.33250610999994,182.54959413200004,520041.8175372,182.55858948000014,1758807.59375
1,34,-43,185.2870759030002,186.56325935999985,520045.8289859,186.58944361300018,2619545.75
1,35,38,189.32410436300006,192.99740405400007,520052.26108110003,193.0142764860002,2580578.5
1,36,112,195.7467785849999,195.75023358099997,520054.5325675,195.75028923799982,1754666.65625
1,37,45,198.48253382599978,199.5190535339998,520058.7875917,199.58094432100006,2215226.6041666665
1,38,133,202.3193262740001,204.196463409,520063.4639935,204.269111951,1965657.888888889
1,39,-19,207.0071059490001,208.30657185100017,520067.5710764,208.44831603900002,1995777.548611111
1,40,80,211.177528402,212.34194054399995,520071.6083841,212.34870435599987,1755348.5
1,41,175,215.080758695,216.367164237,520075.6356051,216.4178028719998,2357902.795
1,42,-31,219.151539857,222.2435443049999,520081.5100991,222.2973408339999,2174946.296296296
1,43,139,225.02365047800004,229.66450634000012,520088.9328684,229.88588700299988,1858176.920045045
1,44,82,232.61392211500015,234.42825352399996,520093.6954034,234.46380885400004,1780105.75
1,45,124,237.20153968800014,238.07931720199986,520097.3453347,238.09402372700015,1760086.5535714286
1,46,147,240.8214367659998,242.40549287400017,520101.6727755,242.42532162399993,2599886.402777778
1,47,147,245.142017012,252.32759643500003,520111.59185850003,252.42424307800002,1980505.8385416667
1,48,97,255.1512884939998,256.1212960359999,520115.3865925,256.15239771200004,1762398.0
1,49,-63,258.8881547169999,261.22576007299995,520120.493861,261.26655630000005,2622807.3092105263
1,50,90,263.9928394980002,267.1489284250001,520126.4139873,267.1977884369999,2482213.7604166665
1,51,201,269.9315265780001,275.2879535279999,520134.552187,275.33776559199987,2442860.045
1,52,139,278.07241524599976,283.3302667070002,520142.5954293,283.5935024979999,1826243.4043560605
1,53,274,286.32992822100005,290.03748180599996,520149.30355240003,290.07033911999997,2611909.1397058824
1,54,28,292.802592215,297.2166463230001,520156.4837836,297.2757303650001,2199044.7413793104
1,55,281,300.008843696,301.9142390699999,520161.1824662,301.9573186759999,2595143.65625
1,56,251,304.68096119699976,306.8573930829998,520166.1233611,306.931450605,2100577.5777027025
2,1,268,321.5771960060001,324.63270240600013,520183.8955659,324.6385322350002,1759857.25
2,2,211,327.367970109,327.36961249099977,520185.8854117,327.369682259,1761707.0
2,3,38,330.12030298699983,330.12535007099996,520189.1333919,330.12536748499997,1751319.125
2,4,280,332.85632504900013,333.46789971,520192.7348021,333.47094242699995,1752117.25
2,5,-10,336.19263275799995,336.19420544600007,520194.6867521,336.194287926,1760681.0625
2,6,178,338.92851973200004,339.70948974400017,520198.9744639,339.7195442020002,1758772.6666666667
2,7,100,342.44846964299995,345.64168125800006,520204.9094241,345.6617087290001,2511885.225
2,8,112,348.3870893630001,350.4644359600002,520209.7313419,350.5086785499998,2421079.4565217393
2,9,36,353.225051806,356.6932210929999,520215.9608804,356.74391590999994,2378209.734375
2,10,-42,359.4641587340002,363.6138243659998,520222.8764977,363.67080243300006,2084420.6541666666
2,11,-84,366.3869326009999,368.132011571,520227.3975346,368.17112960199984,2530412.84375
2,12,-11,370.89118739900005,373.5485196300001,520232.81137380004,373.6035896190001,2164072.495689655
2,13,206,376.3462208599999,379.806285142,520239.0707579,379.8273039589999,2534033.575
2,14,268,382.5519936410001,386.2506311870002,520245.5170429,386.2705264309998,2590678.0833333335
2,15,-28,389.00789191900003,391.5293187279999,520250.7945199,391.58222027700003,2346219.895
2,16,-46,394.29619109299983,398.2473759200002,520257.5129691,398.31317614,2062779.9053030303
2,17,-82,401.05223743399984,404.47594584399985,520263.7425426,404.51502302200015,2528622.89375
2,18,13,407.2410856020001,410.06341954599975,520269.3279014,410.0894324619999,2587670.644230769
2,19,186,412.8130206820001,414.14705520200005,520273.4123812,414.17392653299976,2553321.519230769
2,20,74,416.900224385,419.1501388040001,520278.4163673,419.2018930869999,2411172.2083333335
2,21,98,421.9210723169999,423.24830705500017,520282.5126018,423.29516605900017,2382115.53125
2,22,112,426.0085643090001,427.86726494000004,520287.130261,427.8970748239999,2618269.85
2,23,139,430.61280339099994,433.316625206,520292.5809405,433.34856248100004,2696418.966666667
2,24,198,436.06769590099975,442.29186828699994,520301.5581667,442.3218041350001,2624727.8666666667
2,25,-16,445.0427168279998,447.57878467,520306.8439131,447.64283077599976,2105029.03515625
2,26,139,450.380860838,456.18039591900015,520315.44469760003,456.20556184399993,2523826.8846153845
2,27,5,458.92212276600003,460.8774656830001,520320.14475,460.93069642399996,2357052.68
2,28,-75,463.64463487700004,465.7268232370002,520324.9919763,465.8507316609998,1905284.0729166667
2,29,267,468.58088981799983,470.9581656209998,520330.2212332,470.9722566119999,1800134.2777777778
2,30,187,473.6857834739999,473.84722868000017,520333.1124778,473.8642235080001,1768091.9722222222
2,31,68,476.5884593830001,477.6620029139999,520336.9269045,477.68577349099996,2528618.0520833335
2,32,210,480.408530702,482.694445524,520341.959532,482.72235888800014,2527010.0178571427
2,33,-84,485.4465509470001,487.0111739089998,520346.2775354,487.0711673999999,2194825.0241935486
2,34,-68,489.78382034000015,491.4796213579998,520350.7445588,491.52256768100006,2528585.75
2,35,241,494.23799815099983,495.81856217999984,520355.0854935,495.84244844800014,2524192.8645833335
2,36,207,498.57525355300004,500.29948344700006,520359.5656131,500.33063963799987,2566806.328125
2,37,116,503.06266508499994,504.4115270389998,520363.6783907,504.4924085560001,2162703.60546875
2,38,94,507.2166460980002,508.06067670799985,520367.3235351,508.0948042250002,2560548.9903846155
2,39,258,510.8198832359999,516.5416106510002,520375.80538180005,516.55858502,2484561.527777778
2,40,63,519.2769455009998,522.2304073270002,520381.494228,522.251454191,2552830.102272727
2,41,-89,524.9662395259998,527.4160932909999,520386.68292,527.5388012349999,1947919.9446721312
2,42,-42,530.2542976159998,532.2352055390002,520391.4988491,532.283978161,2448920.3072916665
2,43,217,535.0086808639999,538.151207933,520397.4147768,538.1650786659998,2535939.7321428573
2,44,262,540.8809630370001,543.606070327,520402.8730728,543.617281925,1760439.125
2,45,85,546.335919183,547.2187703310001,520406.483617,547.2489018830001,2612752.1
2,46,113,549.97257769,552.191869533,520411.4555132,552.2246368390001,2599862.4411764704
2,47,8,554.94373331,555.9929361009999,520415.2575065,556.0557122629998,2179420.056451613
2,48,83,558.780633931,559.8966885549999,520419.159435,559.9276991040001,2613890.3161764704
2,49,-2,562.6507853130001,563.411325776,520422.6758698,563.4600708039998,2365958.8076923075
2,50,276,566.1716928359997,567.4853743589997,520426.7498686,567.4982886430003,1775339.3333333333
2,51,-38,570.2244603719996,570.892384534,520430.1527982,570.9599020330002,2132598.0142857144
2,52,55,573.6769751859997,575.0270179610002,520434.2907393,575.0827303410001,2337810.2083333335
2,53,113,577.7980643079995,579.3359219070003,520438.6024251,579.3658331499996,2558121.3303571427
2,54,22,582.0854342560001,583.057158819,520442.3204849,583.1299078899997,2042706.3784722222
2,55,-80,585.8556424269996,586.5105990269999,520445.7758948,586.5613357039997,2408780.668269231
2,56,-36,589.2755416429995,589.9391938559997,520449.2033259,589.9958484840004,2224105.9267241377
2,57,-93,592.7121222740002,593.2481172769999,520452.5122277,593.3678258590003,2092489.55625
2,58,111,596.0818344389995,596.5814791380003,520455.847543,596.6185476220003,2641919.4305555555
2,59,-72,599.3347677799998,602.2552713270002,520461.5191419,602.3357213240001,1949333.91875
2,60,275,605.0570437179999,607.1952487530002,520466.4599331,607.213251695,2558326.4625
